,num_firetruck,Run,Extinguished,On Fire,Step
0,0,0,0,5893,279
1,0,1,0,5696,263
2,0,2,0,5777,261
3,0,3,0,5865,277
4,0,4,0,5850,259
5,0,5,0,5731,238
6,0,6,0,5873,254
7,0,7,0,3734,132
8,0,8,0,5691,219
9,0,9,0,5822,234
10,0,10,0,3731,142
11,0,11,0,5869,224
12,0,12,0,5778,255
13,0,13,0,5858,266
14,0,14,0,5887,258
15,0,15,0,5793,295
16,0,16,0,5851,271
17,0,17,0,5730,257
18,0,18,0,5729,252
19,0,19,0,5718,240
20,3,20,622,3133,149
21,3,21,363,1517,92
22,3,22,298,1352,63
23,3,23,315,1506,66
24,3,24,479,1635,105
25,3,25,713,4501,166
26,3,26,324,1333,83
27,3,27,394,1884,121
28,3,28,623,2826,136
29,3,29,324,1371,66
30,3,30,288,1323,63
31,3,31,462,2290,110
32,3,32,580,2765,135
33,3,33,496,1508,96
34,3,34,415,1732,98
35,3,35,420,1498,84
36,3,36,770,3693,211
37,3,37,491,2464,150
38,3,38,514,2206,119
39,3,39,365,1744,89
40,6,40,17,17,8
41,6,41,125,143,24
42,6,42,114,142,24
43,6,43,167,177,29
44,6,44,130,164,30
45,6,45,188,227,30
46,6,46,130,158,24
47,6,47,382,444,51
48,6,48,113,138,24
49,6,49,119,130,24
50,6,50,49,62,19
51,6,51,86,97,20
52,6,52,29,33,15
53,6,53,159,183,29
54,6,54,117,134,24
55,6,55,94,107,19
56,6,56,134,160,25
57,6,57,99,123,23
58,6,58,171,215,29
59,6,59,539,654,61
60,9,60,14,13,5
61,9,61,11,10,5
62,9,62,12,11,4
63,9,63,12,11,5
64,9,64,11,10,4
65,9,65,12,11,6
66,9,66,11,10,4
67,9,67,11,10,4
68,9,68,13,12,5
69,9,69,9,8,4
70,9,70,14,13,4
71,9,71,11,10,4
72,9,72,12,11,5
73,9,73,13,12,5
74,9,74,10,9,4
75,9,75,12,11,5
76,9,76,11,10,4
77,9,77,11,10,5
78,9,78,13,12,5
79,9,79,13,12,4
80,12,80,11,10,5
81,12,81,10,9,4
82,12,82,11,10,5
83,12,83,12,11,5
84,12,84,11,10,4
85,12,85,13,12,5
86,12,86,10,9,4
87,12,87,10,9,4
88,12,88,14,13,5
89,12,89,10,9,4
90,12,90,17,16,5
91,12,91,11,10,5
92,12,92,12,11,5
93,12,93,10,9,4
94,12,94,11,10,4
95,12,95,12,11,5
96,12,96,11,10,5
97,12,97,11,10,5
98,12,98,10,9,4
99,12,99,11,10,5
100,15,100,12,11,5
101,15,101,15,14,5
102,15,102,11,10,4
103,15,103,11,10,4
104,15,104,13,12,5
105,15,105,12,11,4
106,15,106,11,10,4
107,15,107,19,18,7
108,15,108,17,16,6
109,15,109,16,15,5
110,15,110,13,12,5
111,15,111,17,16,6
112,15,112,15,14,5
113,15,113,14,13,5
114,15,114,13,12,5
115,15,115,11,10,4
116,15,116,14,13,5
117,15,117,16,15,5
118,15,118,17,16,6
119,15,119,12,11,5
120,18,120,15,14,5
121,18,121,12,11,5
122,18,122,10,9,5
123,18,123,11,10,5
124,18,124,12,11,5
125,18,125,16,15,6
126,18,126,14,13,5
127,18,127,12,11,5
128,18,128,10,9,5
129,18,129,12,11,5
130,18,130,19,18,6
131,18,131,17,16,5
132,18,132,12,11,5
133,18,133,19,18,7
134,18,134,17,16,5
135,18,135,15,14,5
136,18,136,12,11,5
137,18,137,14,13,5
138,18,138,11,10,5
139,18,139,16,15,5
140,22,140,8,7,4
141,22,141,9,8,5
142,22,142,5,4,3
143,22,143,5,4,3
144,22,144,9,8,4
145,22,145,10,9,5
146,22,146,10,9,5
147,22,147,11,10,5
148,22,148,9,8,4
149,22,149,9,8,4
150,22,150,10,9,5
151,22,151,5,4,3
152,22,152,10,9,5
153,22,153,9,8,4
154,22,154,11,10,5
155,22,155,10,9,5
156,22,156,8,7,4
157,22,157,14,13,5
158,22,158,8,7,4
