,truck_strategy,Run,Extinguished,On Fire,Step
0,1.0,0,12,11,4
1,1.0,1,6,5,3
2,1.0,2,6,5,3
3,1.0,3,10,9,4
4,1.0,4,12,11,4
5,1.0,5,10,9,4
6,1.0,6,10,9,4
7,1.0,7,12,11,4
8,1.0,8,9,8,5
9,1.0,9,10,9,5
10,1.0,10,6,5,3
11,1.0,11,10,9,4
12,1.0,12,9,8,5
13,1.0,13,6,5,3
14,1.0,14,6,5,3
15,1.0,15,6,5,3
16,1.0,16,6,5,3
17,1.0,17,6,5,3
18,1.0,18,6,5,3
19,1.0,19,10,9,4
20,1.0,20,9,8,4
21,1.0,21,10,9,4
22,1.0,22,10,9,5
23,1.0,23,9,8,5
24,1.0,24,6,5,3
25,1.0,25,12,11,4
26,1.0,26,6,5,3
27,1.0,27,10,9,4
28,1.0,28,12,11,4
29,1.0,29,8,7,4
30,1.0,30,6,5,3
31,1.0,31,9,8,5
32,1.0,32,9,8,4
33,1.0,33,10,9,4
34,1.0,34,6,5,3
35,1.0,35,6,5,3
36,1.0,36,6,5,3
37,1.0,37,9,8,4
38,1.0,38,9,8,5
39,1.0,39,6,5,3
40,1.0,40,10,9,4
41,1.0,41,10,9,4
42,1.0,42,6,5,3
43,1.0,43,6,5,3
44,1.0,44,6,5,3
45,1.0,45,10,9,5
46,1.0,46,10,9,4
47,1.0,47,6,5,3
48,1.0,48,9,8,5
49,1.0,49,12,11,4
