,wind_strength,Run,Extinguished,On Fire,Step
0,0.0,0,330,337,26
1,0.0,1,185,190,16
2,0.0,2,221,226,18
3,0.0,3,271,275,19
4,0.0,4,219,224,18
5,0.0,5,156,161,13
6,0.0,6,315,328,22
7,0.0,7,297,306,21
8,0.0,8,287,293,21
9,0.0,9,229,234,19
10,0.0,10,211,216,19
11,0.0,11,174,179,17
12,0.0,12,147,152,14
13,0.0,13,197,202,17
14,0.0,14,145,149,14
15,0.0,15,237,242,20
16,0.0,16,261,265,19
17,0.0,17,286,295,21
18,0.0,18,194,199,18
19,0.0,19,148,153,14
20,1.5789473684210527,20,136,139,14
21,1.5789473684210527,21,79,80,11
22,1.5789473684210527,22,109,110,14
23,1.5789473684210527,23,73,73,10
24,1.5789473684210527,24,72,72,10
25,1.5789473684210527,25,204,210,18
26,1.5789473684210527,26,155,157,14
27,1.5789473684210527,27,102,102,13
28,1.5789473684210527,28,68,68,11
29,1.5789473684210527,29,116,117,14
30,1.5789473684210527,30,141,142,14
31,1.5789473684210527,31,71,71,10
32,1.5789473684210527,32,168,173,14
33,1.5789473684210527,33,143,145,15
34,1.5789473684210527,34,92,93,12
35,1.5789473684210527,35,151,161,16
36,1.5789473684210527,36,140,142,16
37,1.5789473684210527,37,90,93,12
38,1.5789473684210527,38,76,76,12
39,1.5789473684210527,39,119,121,12
40,3.1578947368421053,40,39,38,8
41,3.1578947368421053,41,73,72,11
42,3.1578947368421053,42,46,45,9
43,3.1578947368421053,43,47,46,9
44,3.1578947368421053,44,52,53,10
45,3.1578947368421053,45,80,79,12
46,3.1578947368421053,46,136,135,13
47,3.1578947368421053,47,55,54,9
48,3.1578947368421053,48,40,41,9
49,3.1578947368421053,49,61,60,11
50,3.1578947368421053,50,20,19,6
51,3.1578947368421053,51,45,44,9
52,3.1578947368421053,52,42,41,9
53,3.1578947368421053,53,47,46,10
54,3.1578947368421053,54,34,33,7
55,3.1578947368421053,55,47,46,9
56,3.1578947368421053,56,41,40,9
57,3.1578947368421053,57,73,72,11
58,3.1578947368421053,58,41,40,9
59,3.1578947368421053,59,30,29,8
60,4.7368421052631575,60,36,35,8
61,4.7368421052631575,61,34,33,8
62,4.7368421052631575,62,20,19,6
63,4.7368421052631575,63,25,24,8
64,4.7368421052631575,64,27,26,8
