,truck_strategy,Run,Extinguished,On Fire,Step
0,1.0,0,0,0.8436507936507142,316
1,1.0,1,0,0.47079365079362473,209
2,1.0,2,0,0.5728571428571022,210
3,1.0,3,0,0.6479365079364565,319
4,1.0,4,0,0.5531746031745653,201
5,1.0,5,0,0.6492063492062976,356
6,1.0,6,0,0.0006349206349206349,18
7,1.0,7,0,0.3828571428571294,122
8,1.0,8,0,0.6779365079364522,297
9,1.0,9,0,0.3806349206349075,143
10,1.0,10,0,0.0,6
11,1.0,11,0,0.6173015873015403,208
12,1.0,12,0,0.7644444444443763,542
13,1.0,13,0,0.4066666666666498,158
14,1.0,14,0,0.44841269841267556,172
15,1.0,15,0,0.49285714285711363,225
16,1.0,16,0,0.5028571428571122,195
17,1.0,17,0,0.002857142857142856,21
18,1.0,18,0,0.8820634920634071,359
19,1.0,19,0,0.41396825396823606,124
20,1.0,20,0,0.5006349206348903,262
21,1.0,21,0,0.5044444444444136,195
22,1.0,22,0,0.4277777777777579,151
23,1.0,23,0,0.9109523809522918,508
24,1.0,24,0,0.4577777777777536,170
25,1.0,25,0,0.6758730158729604,267
26,1.0,26,0,0.6328571428570936,447
27,1.0,27,0,0.47396825396822745,184
28,1.0,28,0,0.4539682539682303,113
29,1.0,29,0,0.7730158730158037,465
30,1.0,30,0,0.5019047619047314,138
31,1.0,31,0,0.43301587301585237,259
32,1.0,32,0,0.6634920634920098,235
33,1.0,33,0,0.8653968253967428,465
34,1.0,34,0,0.3511111111111022,148
35,1.0,35,0,0.39269841269839784,165
36,1.0,36,0,0.5195238095237765,212
37,1.0,37,0,0.6747619047618495,325
38,1.0,38,0,0.8850793650792796,338
39,1.0,39,0,0.6096825396824938,214
40,1.0,40,0,0.35999999999998983,149
41,1.0,41,0,0.7831746031745324,415
42,1.0,42,0,0.4503174603174372,368
43,1.0,43,0,0.5047619047618739,218
44,1.0,44,0,0.5969841269840829,206
45,1.0,45,0,0.40999999999998266,143
46,1.0,46,0,0.4646031746031494,182
47,1.0,47,0,0.4515873015872783,156
48,1.0,48,0,0.5239682539682203,248
49,1.0,49,0,0.4653968253968001,209
50,1.0,50,0,0.36222222222221173,133
51,1.0,51,0,0.4265079365079168,170
52,1.0,52,0,0.39412698412696906,214
53,1.0,53,0,0.5284126984126641,226
54,1.0,54,0,0.5498412698412325,244
55,1.0,55,0,0.5531746031745653,160
56,1.0,56,0,0.6717460317459769,262
57,1.0,57,0,0.48190476190473425,136
58,1.0,58,0,0.6090476190475732,207
59,1.0,59,0,0.5090476190475876,164
60,1.0,60,0,0.4714285714285453,150
61,1.0,61,0,0.6314285714285224,306
62,1.0,62,0,0.7625396825396147,400
63,1.0,63,0,0.3095238095238066,222
64,1.0,64,0,0.4738095238094973,148
65,1.0,65,0,0.5420634920634558,162
66,1.0,66,0,0.5552380952380571,195
67,1.0,67,0,0.8849206349205495,482
68,1.0,68,0,0.9282539682538766,449
69,1.0,69,0,0.3939682539682389,130
70,1.0,70,0,0.4515873015872783,132
71,1.0,71,0,0.4212698412698223,143
72,1.0,72,0,0.38301587301585954,154
73,1.0,73,0,0.730158730158667,285
74,1.0,74,0,0.7509523809523148,472
75,1.0,75,0,0.3792063492063363,140
76,1.0,76,0,0.41349206349204565,190
77,1.0,77,0,0.41444444444442646,217
78,1.0,78,0,0.6209523809523334,184
79,1.0,79,0,0.45666666666664263,132
80,1.0,80,0,0.620476190476143,259
81,1.0,81,0,0.7858730158729447,446
82,1.0,82,0,0.467619047619022,191
83,1.0,83,0,0.7073015873015274,355
84,1.0,84,0,0.49079365079362186,156
85,1.0,85,0,0.55857142857139,272
86,1.0,86,0,0.4939682539682246,169
87,1.0,87,0,0.5185714285713957,193
88,1.0,88,0,0.6930158730158151,239
89,1.0,89,0,0.39365079365077865,164
90,1.0,90,0,0.4530158730158495,182
91,1.0,91,0,0.48460317460314656,176
92,1.0,92,0,0.3673015873015761,199
93,1.0,93,0,0.9120634920634028,433
94,1.0,94,0,0.5423809523809161,223
95,1.0,95,0,0.565555555555516,167
96,1.0,96,0,0.9082539682538795,501
97,1.0,97,0,0.3655555555555446,148
98,1.0,98,0,0.5176190476190149,160
99,1.0,99,0,0.6049206349205897,283
