,truck_max_speed,Run,Extinguished,On Fire,Step
0,1,0,177,0.9996969696967014,130
1,1,1,126,0.9993939393936713,147
2,1,2,173,0.998686868686601,138
3,1,3,135,0.9979797979795306,143
4,1,4,202,0.9989898989896311,141
5,1,5,172,0.9984848484845809,140
6,1,6,184,0.9992929292926612,141
7,1,7,149,0.9989898989896311,139
8,1,8,180,0.9990909090906411,141
9,1,9,135,0.9994949494946813,146
10,1,10,139,0.998787878787611,137
11,1,11,159,0.9992929292926612,138
12,1,12,162,0.9989898989896311,144
13,1,13,141,0.9992929292926612,144
14,1,14,194,0.9993939393936713,136
15,1,15,143,0.9990909090906411,141
16,1,16,141,0.9991919191916512,152
17,1,17,125,0.9989898989896311,149
18,1,18,161,0.9991919191916512,131
19,1,19,140,0.9992929292926612,144
20,1,20,189,0.9989898989896311,140
21,1,21,175,0.9994949494946813,152
22,1,22,172,0.9984848484845809,142
23,1,23,159,0.9992929292926612,144
24,1,24,142,0.998888888888621,143
25,1,25,167,0.9980808080805407,144
26,1,26,147,0.9990909090906411,136
27,1,27,165,0.9993939393936713,149
28,1,28,189,0.9989898989896311,150
29,1,29,140,0.998888888888621,139
30,1,30,153,0.9991919191916512,137
31,1,31,188,0.9989898989896311,154
32,1,32,127,0.9993939393936713,145
33,1,33,163,0.9980808080805407,143
34,1,34,174,0.998686868686601,143
35,1,35,144,0.9989898989896311,147
36,1,36,150,0.9981818181815507,131
37,1,37,193,0.9983838383835708,148
38,1,38,184,0.9992929292926612,142
39,1,39,158,0.9991919191916512,139
40,1,40,158,0.9984848484845809,136
41,1,41,137,0.998888888888621,153
42,1,42,170,0.9991919191916512,138
43,1,43,164,0.9991919191916512,135
44,1,44,203,0.9989898989896311,149
45,1,45,169,0.9989898989896311,140
46,1,46,149,0.9983838383835708,134
47,1,47,169,0.998787878787611,143
48,1,48,158,0.9985858585855909,138
49,1,49,155,0.9989898989896311,136
50,2,50,264,0.9998989898987215,138
51,2,51,238,0.9976767676765005,141
52,2,52,213,0.998888888888621,143
53,2,53,205,0.9994949494946813,138
54,2,54,210,0.9995959595956914,153
55,2,55,223,0.9993939393936713,136
56,2,56,162,0.9994949494946813,141
57,2,57,174,0.9989898989896311,140
58,2,58,190,0.9990909090906411,142
59,2,59,268,0.9980808080805407,135
60,2,60,128,0.9995959595956914,144
61,2,61,181,0.9998989898987215,135
62,2,62,259,0.998787878787611,141
63,2,63,204,0.9979797979795306,146
64,2,64,277,0.9984848484845809,138
65,2,65,190,0.9994949494946813,147
66,2,66,186,0.9990909090906411,142
67,2,67,245,0.9989898989896311,144
68,2,68,263,0.9994949494946813,147
69,2,69,187,0.9976767676765005,142
70,2,70,187,0.9996969696967014,144
71,2,71,254,0.9983838383835708,145
72,2,72,242,0.9994949494946813,137
73,2,73,259,0.998888888888621,142
74,2,74,234,0.9991919191916512,147
75,2,75,219,0.9989898989896311,141
76,2,76,225,0.9989898989896311,144
77,2,77,242,0.9989898989896311,133
78,2,78,183,0.9996969696967014,138
79,2,79,271,0.9984848484845809,132
80,2,80,215,0.9993939393936713,142
81,2,81,254,0.9989898989896311,142
82,2,82,180,0.9989898989896311,141
83,2,83,166,0.998787878787611,146
84,2,84,222,0.9995959595956914,134
85,2,85,254,0.9977777777775105,131
86,2,86,240,0.9992929292926612,138
87,2,87,234,0.9992929292926612,146
88,2,88,251,0.9996969696967014,142
89,2,89,238,0.9982828282825608,139
90,2,90,301,0.9992929292926612,131
91,2,91,214,0.9993939393936713,141
92,2,92,231,0.9979797979795306,143
93,2,93,231,0.9990909090906411,140
94,2,94,252,0.998888888888621,134
95,2,95,199,0.9992929292926612,139
96,2,96,251,0.9991919191916512,139
97,2,97,168,0.9993939393936713,137
98,2,98,180,0.9989898989896311,135
99,2,99,293,0.9994949494946813,141
100,3,100,324,0.9990909090906411,140
101,3,101,237,0.9989898989896311,142
102,3,102,260,0.9995959595956914,135
103,3,103,187,0.998888888888621,154
104,3,104,250,0.9994949494946813,142
105,3,105,262,0.9994949494946813,142
106,3,106,310,0.9993939393936713,144
107,3,107,259,0.9991919191916512,144
108,3,108,275,0.9995959595956914,138
109,3,109,217,0.998787878787611,145
110,3,110,225,0.9981818181815507,136
111,3,111,182,0.998888888888621,157
112,3,112,288,0.9990909090906411,134
113,3,113,273,0.9996969696967014,141
114,3,114,242,0.9993939393936713,148
115,3,115,352,0.9997979797977115,138
116,3,116,340,0.9995959595956914,149
117,3,117,195,0.9995959595956914,148
118,3,118,348,0.9991919191916512,140
119,3,119,255,0.9995959595956914,139
120,3,120,204,0.9985858585855909,129
121,3,121,304,0.9992929292926612,142
122,3,122,337,0.9990909090906411,146
123,3,123,318,0.9989898989896311,138
124,3,124,258,0.998888888888621,142
125,3,125,273,0.9997979797977115,146
126,3,126,313,0.9992929292926612,134
127,3,127,459,0.9995959595956914,147
128,3,128,400,0.998888888888621,143
129,3,129,361,0.9992929292926612,140
130,3,130,298,0.9989898989896311,139
131,3,131,385,0.9980808080805407,135
132,3,132,359,0.9995959595956914,137
133,3,133,278,0.9975757575754904,129
134,3,134,285,0.9989898989896311,135
135,3,135,250,0.9996969696967014,143
136,3,136,333,0.9992929292926612,146
137,3,137,235,0.9985858585855909,142
138,3,138,352,0.9992929292926612,144
139,3,139,289,0.9979797979795306,146
140,3,140,297,0.9994949494946813,141
141,3,141,335,0.9993939393936713,144
142,3,142,251,0.9991919191916512,144
143,3,143,244,0.9991919191916512,138
144,3,144,224,0.9997979797977115,144
145,3,145,272,0.9995959595956914,146
146,3,146,234,0.9992929292926612,140
147,3,147,328,0.9997979797977115,133
148,3,148,289,0.998888888888621,134
149,3,149,272,0.9996969696967014,136
150,4,150,412,0.9993939393936713,131
151,4,151,360,0.9989898989896311,141
152,4,152,316,0.9995959595956914,151
153,4,153,362,0.9995959595956914,153
154,4,154,383,0.9990909090906411,130
155,4,155,289,0.9990909090906411,143
156,4,156,283,0.9994949494946813,131
157,4,157,286,0.9997979797977115,138
158,4,158,303,0.9993939393936713,145
159,4,159,361,0.9991919191916512,145
160,4,160,297,0.9998989898987215,142
161,4,161,246,0.998787878787611,145
162,4,162,336,0.9998989898987215,160
163,4,163,233,0.9996969696967014,135
164,4,164,349,0.9990909090906411,140
165,4,165,302,0.9991919191916512,148
166,4,166,228,0.9995959595956914,145
167,4,167,246,0.9993939393936713,133
168,4,168,339,0.998888888888621,131
169,4,169,390,0.9993939393936713,138
170,4,170,294,0.9989898989896311,143
171,4,171,401,0.9995959595956914,144
172,4,172,428,0.998888888888621,158
173,4,173,316,0.9994949494946813,144
174,4,174,335,0.9992929292926612,146
175,4,175,260,0.9996969696967014,140
176,4,176,318,0.9994949494946813,144
177,4,177,217,0.998787878787611,135
178,4,178,360,0.9995959595956914,143
179,4,179,297,0.9997979797977115,135
180,4,180,420,0.9984848484845809,141
181,4,181,346,0.9994949494946813,139
182,4,182,426,0.99656565656539,146
183,4,183,426,0.9992929292926612,139
184,4,184,247,0.9994949494946813,161
185,4,185,448,0.9971717171714503,139
186,4,186,208,0.9992929292926612,135
187,4,187,324,0.9992929292926612,144
188,4,188,504,0.9982828282825608,139
189,4,189,342,0.9992929292926612,145
190,4,190,226,0.9995959595956914,142
191,4,191,235,0.9994949494946813,143
192,4,192,359,0.9991919191916512,152
193,4,193,361,0.9996969696967014,144
194,4,194,220,0.9996969696967014,138
195,4,195,306,0.9996969696967014,143
196,4,196,303,0.998888888888621,142
197,4,197,286,0.9989898989896311,137
198,4,198,354,0.998787878787611,142
199,4,199,336,0.9995959595956914,139
200,5,200,318,0.9991919191916512,148
201,5,201,316,0.9994949494946813,138
202,5,202,515,0.9993939393936713,147
203,5,203,406,0.9996969696967014,147
204,5,204,340,0.9996969696967014,151
205,5,205,332,0.9997979797977115,145
206,5,206,393,0.9996969696967014,143
207,5,207,390,0.9990909090906411,148
208,5,208,315,0.9994949494946813,147
209,5,209,394,0.9995959595956914,138
210,5,210,349,0.9997979797977115,153
211,5,211,285,0.998787878787611,140
212,5,212,316,0.9995959595956914,130
213,5,213,282,0.9992929292926612,141
214,5,214,410,0.9991919191916512,143
