,truck_strategy,Run,Extinguished,On Fire,Step
0,1.0,0,1286,0.3418181818181839,72
1,1.0,1,1220,0.26545454545454705,71
2,1.0,2,975,0.2690909090909107,76
3,1.0,3,1064,0.2980808080808099,73
4,1.0,4,1256,0.29575757575757755,74
5,1.0,5,923,0.27767676767676935,58
6,1.0,6,1061,0.25787878787878943,64
7,1.0,7,803,0.21080808080808208,58
8,1.0,8,1091,0.26454545454545614,75
9,1.0,9,1213,0.3353535353535374,74
10,1.0,10,922,0.26575757575757736,63
11,1.0,11,1184,0.31414141414141605,79
12,1.0,12,1453,0.3580808080808103,73
13,1.0,13,1085,0.30919191919192107,68
14,1.0,14,1161,0.31959595959596154,95
15,1.0,15,877,0.24616161616161766,63
16,1.0,16,812,0.2617171717171733,58
17,1.0,17,962,0.2931313131313149,66
18,1.0,18,968,0.22868686868687008,60
19,1.0,19,934,0.25808080808080963,58
20,1.0,20,1048,0.35171717171717387,76
21,1.0,21,1246,0.35686868686868906,69
22,1.0,22,1189,0.3523232323232345,67
23,1.0,23,844,0.24929292929293081,59
24,1.0,24,1161,0.3791919191919215,94
25,1.0,25,1179,0.33171717171717374,76
26,1.0,26,817,0.20707070707070832,57
27,1.0,27,1079,0.27848484848485017,62
28,1.0,28,962,0.2124242424242437,59
29,1.0,29,1037,0.2557575757575773,63
30,1.0,30,1021,0.2613131313131329,60
31,1.0,31,1053,0.2560606060606076,67
32,1.0,32,906,0.26545454545454705,60
33,1.0,33,1078,0.28909090909091084,68
34,1.0,34,1095,0.25292929292929445,66
35,1.0,35,1416,0.34333333333333543,80
36,1.0,36,1080,0.26000000000000156,60
37,1.0,37,1316,0.33888888888889096,88
38,1.0,38,1204,0.262424242424244,66
39,1.0,39,1191,0.2483838383838399,81
40,1.0,40,1132,0.25343434343434496,63
41,1.0,41,771,0.2475757575757591,58
42,1.0,42,1063,0.2676767676767693,68
43,1.0,43,974,0.26494949494949654,60
44,1.0,44,942,0.2796969696969714,73
45,1.0,45,1380,0.2940404040404058,79
46,1.0,46,1062,0.3336363636363657,87
47,1.0,47,975,0.30262626262626446,63
48,1.0,48,1196,0.30232323232323416,69
49,1.0,49,952,0.24989898989899142,59
50,1.0,50,1025,0.29040404040404216,71
51,1.0,51,1107,0.23353535353535496,81
52,1.0,52,1021,0.316060606060608,65
53,1.0,53,923,0.33121212121212323,97
54,1.0,54,994,0.27646464646464813,60
55,1.0,55,999,0.322020202020204,75
56,1.0,56,1265,0.3302020202020222,70
57,1.0,57,1004,0.28484848484848657,63
58,1.0,58,876,0.293232323232325,77
59,1.0,59,1090,0.306161616161618,68
60,1.0,60,1171,0.2820202020202037,68
61,1.0,61,1038,0.23242424242424384,63
62,1.0,62,934,0.26646464646464807,57
63,1.0,63,871,0.27191919191919356,61
64,1.0,64,1263,0.3354545454545475,75
65,1.0,65,1225,0.3097979797979817,82
66,1.0,66,897,0.2759595959595976,59
67,1.0,67,1080,0.3174747474747494,74
68,1.0,68,1038,0.2622222222222238,62
69,1.0,69,958,0.2426262626262641,61
70,1.0,70,840,0.31414141414141605,75
71,1.0,71,1110,0.2821212121212138,78
72,1.0,72,1014,0.30696969696969884,69
73,1.0,73,1278,0.30848484848485036,68
74,1.0,74,1036,0.2667676767676784,63
75,1.0,75,1021,0.29585858585858765,73
76,1.0,76,1060,0.27737373737373905,62
77,1.0,77,1085,0.229595959595961,60
78,1.0,78,1151,0.273333333333335,70
79,1.0,79,830,0.23757575757575902,59
80,1.0,80,883,0.2635353535353551,66
81,1.0,81,830,0.24383838383838533,62
82,1.0,82,1184,0.3106060606060625,62
83,1.0,83,1118,0.3000000000000018,73
84,1.0,84,977,0.31323232323232514,74
85,1.0,85,1329,0.3185858585858605,75
86,1.0,86,1247,0.3105050505050524,74
87,1.0,87,1258,0.2802020202020219,70
88,1.0,88,1149,0.2667676767676784,65
89,1.0,89,998,0.23525252525252668,64
90,1.0,90,1155,0.2756565656565673,75
91,1.0,91,1120,0.3122222222222241,80
92,1.0,92,1143,0.2562626262626278,62
93,1.0,93,990,0.2607070707070723,60
94,1.0,94,1122,0.22757575757575896,66
95,1.0,95,1279,0.37424242424242654,100
96,1.0,96,1068,0.27101010101010264,62
97,1.0,97,1106,0.269393939393941,62
98,1.0,98,1138,0.28838383838384013,75
99,1.0,99,1153,0.3000000000000018,70
